(Почти) Пять Докторов,,,
Донна Ноубл.txt,Десятый Доктор,Роза Тайлер Донна Ноубл Уилфред Мотт Ривер Сонг Ривер Сонг Джек Харкнесс,Далеки Тишина Даврос
Дочь Доктора.txt,Десятый Доктор,Донна Ноубл Марта Джонс,
Драконье пламя (ТВ история).txt,Седьмой Доктор,Эйс,
Драконья ярость (аудио история).txt,,,
Древесная землеройка.txt,,,
Дудочник.txt,Первый Доктор,,
Дымовая завеса.txt,Пятый Доктор Одиннадцатый Доктор,Адрик Нисса,Мастер
Дэвид Бейли.txt,,,
Дэвид Луэллин.txt,,,Мастер
Дэвид Теннант.txt,Десятый Доктор,,
Дэмиан Сэмюэлс.txt,,,
Дэнни Пинк.txt,,,Мастер
Дэннис Спунер.txt,,,
Её последний полёт.txt,Шестой Доктор,Пери Браун,
Единорог и оса.txt,Десятый Доктор,Донна Ноубл,Тишина
Ежемесячные релизы (Big Finish).txt,Восьмой Доктор,Адрик Пери Браун Эйс,
Елизавета X.txt,,Эми Понд Ривер Сонг Ривер Сонг,
Жанна-Антуанетта Пуассон.txt,Десятый Доктор,,
Жена Доктора.txt,Одиннадцатый Доктор,Эми Понд Рори Уильямс,Мастер
"Женщина, которая упала на Землю.txt",Тринадцатый Доктор,Райан Синклер,
Живая легенда.txt,Восьмой Доктор,,
Жидкостное соединение.txt,Первый Доктор,Сара Джейн Смит,Далеки Мастер
Жнецы.txt,,Роза Тайлер Ривер Сонг Ривер Сонг,Жнецы Предвестник
За морем (аудио история).txt,,,
За солнцем (аудио история).txt,,Полли Райт Эйс,
Завершение.txt,,,
Загадка Цуранга.txt,Тринадцатый Доктор,,Птинг
Заглавная.txt,Тринадцатый Доктор,,
Зазор времени.txt,Шестой Доктор,Джо Грант Пери Браун,
Зайгоны.txt,Десятый Доктор Одиннадцатый Доктор,,Зайгоны
Заключённый Ноль.txt,,,
Заново рождённый.txt,Девятый Доктор Десятый Доктор,Роза Тайлер,
Запасные части.txt,Пятый Доктор,Нисса,Киберлюди
Захватчики с Марса.txt,Восьмой Доктор,,
Защитник далеков.txt,Десятый Доктор Тринадцатый Доктор,,
Звезда.txt,,,
Зверь внизу.txt,Одиннадцатый Доктор,Эми Понд,
Здесь будут монстры.txt,Первый Доктор,,
Зелёная смерть.txt,Третий Доктор,Джо Грант,
Землетрясение (ТВ история).txt,Пятый Доктор,Катарина Сара Кингдом Адрик Нисса,Киберлюди
Земля мёртвых.txt,Пятый Доктор,Нисса,
Земная империя.txt,Первый Доктор,,Мастер
Земное дитя.txt,Первый Доктор Восьмой Доктор,,
"Зеркало, сигнал, манёвр.txt",,Сара Джейн Смит,
Зло далеков.txt,Второй Доктор,,Далеки
Злой волк (ТВ история).txt,Девятый Доктор,Роза Тайлер Джек Харкнесс,Далеки
Змеиная голова.txt,,,
Зоанон.txt,,,
Зои Хериот - список появлений.txt,,Зои Хериот,
Зои Хериот.txt,,Зои Хериот,
Зомбоящик.txt,Десятый Доктор,Роза Тайлер,
Зэйв Эштон.txt,,,
Иглобрюхие.txt,,Джек Харкнесс,
Иго.txt,,Эйс,
Идрис.txt,,Ривер Сонг Ривер Сонг,
Избегая будущего.txt,,,
Изгнание (аудио история).txt,Второй Доктор Третий Доктор,,
Иззи Синклер.txt,Двенадцатый Доктор,,Мастер
Изолятор далеков (ТВ история).txt,Одиннадцатый Доктор,Эми Понд Рори Уильямс,Далеки
Императрица Марса.txt,Двенадцатый Доктор,Нардол Билл Поттс,Ледяные воины Пожиратели света
Императрица Ракносс.txt,,,
Империя далеков (аудиосериал).txt,,,Далеки
Империя далеков II,,,
Имя Доктора.txt,Десятый Доктор Одиннадцатый Доктор,Ривер Сонг Клара Освальд Ривер Сонг,Великий Разум Шептуны
Интернациональная Электрокорпорация.txt,Второй Доктор,,Киберлюди
Инферно.txt,Третий Доктор,Лиз Шоу,
Инфорарий (ТВ история).txt,Одиннадцатый Доктор,,
Искатели ведьм.txt,Тринадцатый Доктор,,
Искушение Сары Джейн Смит.txt,,,
Исповедники.txt,Одиннадцатый Доктор,Эми Понд Ривер Сонг Ривер Сонг,Тишина
Истории с Новой Земли.txt,Десятый Доктор,,
Истории.txt,,,
История спутников.txt,Восьмой Доктор,Катарина Лила Романа I Романа II Адрик Ривер Сонг Ривер Сонг,
Иэн Битти.txt,,,
Иэн Гелдер.txt,,,
Иэн Ханмор.txt,,,
Йанто Джонс.txt,,Джек Харкнесс,
Йен МакНис.txt,,Эйс,
Йен Честертон.txt,,Барбара Райт,
К9 (модель I).txt,Четвертый Доктор,Лила,
К9 (модель II).txt,,Дэвид Брирли,
К9 (модель III).txt,,Адрик,
К9 (модель IV).txt,,Сара Джейн Смит,
К9 (сериал).txt,,,
К9.txt,,Лила Дэвид Брирли Романа I Романа II Адрик,
Калира.txt,,,
Камни крови.txt,,Романа I,
Кантон Делавэр.txt,,Ривер Сонг Ривер Сонг,
Капитан Джек Харкнесс (ТВ история).txt,,Джек Харкнесс,
Капитан Квилл.txt,,,
Кара.txt,Пятый Доктор,Романа I Романа II Адрик Нисса,
Кардиффский пространственно-временной рифт.txt,Девятый Доктор Десятый Доктор,Роза Тайлер,
Карзок.txt,Пятый Доктор,,
Карманные вселенные.txt,Одиннадцатый Доктор,,
Карнавал монстров.txt,Третий Доктор,Джо Грант Гарри Салливан,
Карриониты.txt,,,
Кассандра О’Брайен.Δ17.txt,Девятый Доктор Десятый Доктор,Роза Тайлер,
Катика Сантини Кадени.txt,,,
Квиннис (аудио история).txt,Первый Доктор,,
Кворрен Магвайр.txt,Восьмой Доктор,,
Керизз.txt,,,
Кибер-дроны.txt,,,Киберлюди
Кибер-планировщик.txt,Второй Доктор Одиннадцатый Доктор,Зои Хериот Ривер Сонг Ривер Сонг,Киберлюди
Киберматы.txt,,,
КиберПовелители.txt,,,Мастер
Киберчеловек (аудиосериал).txt,,,Киберлюди
Кизлет.txt,Одиннадцатый Доктор,Клара Освальд,Великий Разум
Кили Хоуз.txt,,,
Кинда (ТВ история).txt,Пятый Доктор,Адрик Нисса,
Кислород (ТВ история).txt,Двенадцатый Доктор,Нардол Билл Поттс,
Китлинги.txt,,,Мастер
Клад.txt,,,
Клайд Лангер.txt,,,Горгоны
Клара Освальд - список появлений.txt,,Клара Освальд,
Клара Освальд.txt,,Эми Понд Рори Уильямс Ривер Сонг Клара Освальд Ривер Сонг,
Кларк (Человеческая природа).txt,,,
Клетка вечности (аудио история).txt,Военный Доктор,,Сонтаранцы
Клык и коготь.txt,Десятый Доктор,Роза Тайлер,
Ключи Маринуса.txt,Первый Доктор,Эйс,
Книги.txt,Десятый Доктор Одиннадцатый Доктор,,Тишина Вашта Нерада
Ковариан.txt,,Ривер Сонг Ривер Сонг,Тишина
Ковчег (ТВ история).txt,Первый Доктор,Стивен Тейлор Додо Чаплет,
Ковчег в космосе.txt,,Гарри Салливан,
Когти Аксоса.txt,Третий Доктор,Джо Грант,Мастер
Когти Венг-Чанга.txt,,Лила,
Код Шекспира.txt,Десятый Доктор,Марта Джонс,
Кожа Скользких.txt,,Романа I Романа II,
Колесо в космосе.txt,Второй Доктор,Зои Хериот,Киберлюди
Колокола Святого Иоанна.txt,Одиннадцатый Доктор,Клара Освальд,Великий Разум
Колония в космосе.txt,Третий Доктор,Джо Грант,Мастер
Кольдиц (аудио история).txt,Седьмой Доктор,Эйс,
Кольца Акатена.txt,Одиннадцатый Доктор,Клара Освальд,
Кольцо Вормвуд.txt,,,
Команда Сары Джейн.txt,,,
Комплекс Бога.txt,Одиннадцатый Доктор,Эми Понд Рори Уильямс,Плачущие ангелы
Конвертер в чёрные дыры.txt,,,Мастер
